candidate	AUROC	AUPRC	balanced_accuracy	mean_fold_AUROC	min_fold_AUROC	n_samples	n_responders	n_nonresponders
0.50*base+0.50*(0.65*pct__PLA2G2D+0.35*pct__PIK3CD)	0.7664990571967315	0.6590105930205015	0.5939660590823381	0.7262526946737472	0.6318681318681318	117	43	74
0.35*base+0.65*(0.20*pct__PLA2G2D+0.80*rz__PIK3CD)	0.7661847894406034	0.7010138635036246	0.6671904462602136	0.6988181409234041	0.5384615384615384	117	43	74
0.35*base+0.65*(0.20*pct__PLA2G2D+0.80*z__PIK3CD)	0.7661847894406034	0.7010138635036246	0.6671904462602136	0.6988181409234041	0.5384615384615384	117	43	74
0.35*base+0.65*(0.50*rz__PLA2G2D+0.50*rz__PIK3CD)	0.7652419861722187	0.6585749532630281	0.6585480829666877	0.7028591291749186	0.5714285714285714	117	43	74
0.35*base+0.65*(0.50*rz__PLA2G2D+0.50*z__PIK3CD)	0.7652419861722187	0.6585749532630281	0.6585480829666877	0.7028591291749186	0.5714285714285714	117	43	74
0.20*base+0.80*(0.50*pct__PLA2G2D+0.50*rz__PIK3CD)	0.7642991829038341	0.685601253041261	0.6266499057196732	0.706373159004738	0.5604395604395604	117	43	74
0.20*base+0.80*(0.50*pct__PLA2G2D+0.50*z__PIK3CD)	0.7642991829038341	0.685601253041261	0.6266499057196732	0.706373159004738	0.5604395604395604	117	43	74
0.35*base+0.65*(0.20*rz__PLA2G2D+0.80*rz__PIK3CD)	0.763984915147706	0.6998470335399768	0.6574481458202388	0.7008862482546693	0.5494505494505494	117	43	74
0.35*base+0.65*(0.20*rz__PLA2G2D+0.80*z__PIK3CD)	0.763984915147706	0.6998470335399768	0.6574481458202388	0.7008862482546693	0.5494505494505494	117	43	74
0.35*base+0.65*(0.35*rz__PLA2G2D+0.65*rz__PIK3CD)	0.7639849151477058	0.692624406460142	0.6604336895034569	0.7014739646318594	0.5604395604395604	117	43	74
0.35*base+0.65*(0.35*rz__PLA2G2D+0.65*z__PIK3CD)	0.7639849151477058	0.692624406460142	0.6604336895034569	0.7014739646318594	0.5604395604395604	117	43	74
0.50*base+0.50*(0.80*rz__PLA2G2D+0.20*rz__PIK3CD)	0.7636706473915776	0.6469129533734987	0.5947517284726587	0.722349580244317	0.6483516483516483	117	43	74
0.50*base+0.50*(0.80*rz__PLA2G2D+0.20*z__PIK3CD)	0.7636706473915776	0.6469129533734987	0.5947517284726587	0.722349580244317	0.6483516483516483	117	43	74
0.65*base+0.35*(0.20*z__PLA2G2D+0.80*pct__PIK3CD)	0.7633563796354494	0.7010057018177384	0.6660905091137649	0.7254400570190045	0.6208791208791209	117	43	74
0.35*base+0.65*(0.35*z__PLA2G2D+0.65*rz__PIK3CD)	0.7630421118793212	0.6952343425323942	0.6574481458202388	0.703866309129467	0.5604395604395604	117	43	74
0.35*base+0.65*(0.35*z__PLA2G2D+0.65*z__PIK3CD)	0.7630421118793212	0.6952343425323942	0.6574481458202388	0.703866309129467	0.5604395604395604	117	43	74
0.65*base+0.35*(0.20*rz__PLA2G2D+0.80*pct__PIK3CD)	0.7630421118793211	0.676303871120062	0.6660905091137649	0.723845160687266	0.6208791208791209	117	43	74
0.35*base+0.65*(0.20*z__PLA2G2D+0.80*rz__PIK3CD)	0.7624135763670647	0.6983593256654567	0.6574481458202388	0.6992913519229309	0.5494505494505494	117	43	74
0.35*base+0.65*(0.20*z__PLA2G2D+0.80*z__PIK3CD)	0.7624135763670647	0.6983593256654567	0.6574481458202388	0.6992913519229309	0.5494505494505494	117	43	74
0.50*base+0.50*(0.50*pct__PLA2G2D+0.50*pct__PIK3CD)	0.7624135763670647	0.6639504121812214	0.669076052796983	0.7061710219604956	0.5769230769230769	117	43	74
0.35*base+0.65*(0.50*z__PLA2G2D+0.50*rz__PIK3CD)	0.76147077309868	0.6799296047319358	0.6574481458202388	0.7028591291749186	0.5714285714285714	117	43	74
0.35*base+0.65*(0.50*z__PLA2G2D+0.50*z__PIK3CD)	0.76147077309868	0.6799296047319358	0.6574481458202388	0.7028591291749186	0.5714285714285714	117	43	74
0.50*base+0.50*(0.80*z__PLA2G2D+0.20*rz__PIK3CD)	0.7611565053425519	0.6497285923379907	0.6469201759899434	0.7231470284101862	0.6483516483516483	117	43	74
0.50*base+0.50*(0.80*z__PLA2G2D+0.20*z__PIK3CD)	0.7611565053425519	0.6497285923379907	0.6469201759899434	0.7231470284101862	0.6483516483516483	117	43	74
0.50*base+0.50*(0.35*pct__PLA2G2D+0.65*pct__PIK3CD)	0.7608422375864237	0.7027932748192866	0.6825895663104966	0.711924917188075	0.5769230769230769	117	43	74
0.20*base+0.80*(0.35*pct__PLA2G2D+0.65*rz__PIK3CD)	0.7608422375864237	0.6906161023228166	0.6836895034569453	0.6952772373825006	0.532967032967033	117	43	74
