holdout	candidate	inner_mean_AUROC	inner_mean_AUPRC	inner_balanced_accuracy	threshold	selection_score
GSE136961	signed_MCP_fibroblast	0.5081915191290192	0.38156979054068196	0.5323299217338953	0.2063215803357599	0.553886504742748
GSE136961	signed_MPS	0.521855921855922	0.3912436514645791	0.54894641782059	0.30336865226362514	0.5688654253201805
GSE136961	signed_IPRES	0.4414390008140008	0.3877404289804801	0.5476219145093317	0.561595811101822	0.48820711798849137
GSE136961	signed_C_ECM	0.47105018823768824	0.36921735954035556	0.5323299217338953	0.20908082157215863	0.5161275523014008
GSE136961	signed_TIDE_exclusion	0.47218342999592994	0.36169267874498595	0.5482841661649609	0.4062683727647787	0.5176822722414273
GSE136961	signed_ESCS	0.4363572191697192	0.3331586925848327	0.5406381697772427	0.2545076201192522	0.48004706228782296
GSE168204	immune_top5	0.6660396316646316	0.4983289402155472	0.6391932570740517	0.3731849993407946	0.7229157415291115
GSE168204	tcell_checkpoint	0.6505310083435084	0.4936464106214834	0.6226971703792896	0.4150429982160571	0.7063481873935471
GSE168204	immune_mean	0.6405480514855515	0.48530618864043706	0.6096327513546056	0.5241139603806164	0.6952949984853036
GSE168204	top5_minus_stroma_myeloid	0.5977449633699634	0.4290984721776292	0.6102950030102348	0.44445843389800943	0.6497146371293566
GSE168204	immune_minus_suppressive	0.5901270604395604	0.42637289880515894	0.6109572546658639	0.3184470163620304	0.6419935681131116
GSE168204	suppression_inverse	0.41264499389499393	0.3541506551945165	0.54473208910295	0.2662005929312622	0.4575891311098672
GSE168204	signed_TIG	0.6330503408628408	0.45473073961806215	0.6226971703792896	0.3739636332676509	0.6869217363627084
GSE168204	signed_TIDE_dysfunction	0.6456301510989011	0.4860933433705933	0.6344370860927152	0.4747440529737863	0.7016566725720665
GSE168204	signed_IFNG	0.6570258445258446	0.48030001996470306	0.6226971703792896	0.37158918103167	0.7121757040430442
GSE168204	signed_PDCD1LG2	0.6438371235246236	0.5097859561432282	0.6047561709813365	0.5427617665080717	0.6995642298808518
GSE168204	signed_CXCL9	0.5977471891534392	0.42927382544701737	0.6344370860927152	0.5689898062092875	0.6509327347304259
GSE168204	signed_MCP_CD8_T	0.5691795762108262	0.42785280447681906	0.6047561709813365	0.5076357324319649	0.6208100249837338
GSE168204	signed_APM	0.6401779354904356	0.4808756226603793	0.6054184226369657	0.5110323132800315	0.6944926377553028
GSE168204	signed_PDL1_CD274	0.6330522486772486	0.47138461440604085	0.6171583383503914	0.5687273284980094	0.6874793963150703
GSE168204	signed_IMPRES_template	0.629709121896622	0.4840565591930749	0.6254665863937388	0.6221766222322889	0.6851852791759627
GSE168204	signed_HLA_DRA	0.6197248931623931	0.49432688517386525	0.5964479229379892	0.624044421392789	0.6742636335679858
GSE168204	signed_CTLA4	0.5498683608058608	0.4345077841252122	0.6171583383503914	0.48582733205433193	0.602451666929641
GSE168204	signed_CYT	0.5377410205535206	0.4188134075552455	0.5840457555689343	0.4795849117236469	0.5878839787097295
GSE168204	signed_PDCD1	0.5759892017704517	0.4209369271973024	0.6130644190246839	0.5203771661502012	0.627689269081551
GSE168204	signed_TLS	0.5958454161579162	0.4787552341906414	0.5847080072245635	0.4211541388624416	0.6490185782286765
GSE168204	signed_MCP_fibroblast	0.5563396672771672	0.39950777275110994	0.5623720650210716	0.5	0.6044336591657763
GSE168204	signed_MPS	0.4922262922262922	0.37324129319906296	0.5365442504515352	0.30336865226362514	0.5377155694088221
GSE168204	signed_IPRES	0.46366122303622304	0.3962111648531768	0.54683925346177	0.6014503358878045	0.5108137439519704
GSE168204	signed_C_ECM	0.4543835215710216	0.3657753930101537	0.5240216736905479	0.168369995322929	0.49887337490605665
